id,mse,suspicious,error
264,7786.4,,
328,7784.5,,
271,7775.7,,
337,7769.2,,
283,7737.8,,
275,7717.4,,
41,7711.2,,
61,7691.7,,
28,7691.6,,
305,7684.8,,
301,7680.3,,
86,7648.9,,
387,7644.7,,
402,7642.8,,
393,7629.6,,
219,7624.4,,
48,7622.9,,
171,7620.2,,
383,7618.5,,
71,7565.5,,
389,7534.2,,
92,7491.9,,
238,7485.0,,
335,7480.4,,
37,7471.3,,
266,7457.7,,
327,7454.0,,
126,7451.3,,
33,7450.8,,
181,7433.2,,
11,7367.9,,
325,7333.2,,
172,7332.9,,
378,7312.2,,
149,7300.6,,
385,7286.2,,
32,7212.4,,
30,7188.2,,
138,7180.9,,
329,7166.0,,
72,7165.0,,
68,7154.2,,
236,7136.4,,
360,7119.8,,
225,7101.7,,
269,7052.3,,
58,7051.8,,
21,7037.4,,
278,7002.4,,
127,7000.9,,
254,6956.2,,
295,6955.7,,
237,6929.2,,
331,6871.5,,
59,6834.8,,
67,6820.8,,
323,6746.3,,
1,6726.4,,
319,6702.9,,
265,6648.4,,
196,6647.1,,
104,6637.3,,
175,6630.0,,
345,6625.1,,
139,6561.0,,
406,6503.4,,
336,6489.9,,
276,6428.6,,
16,6414.4,,
29,6394.7,,
179,6318.3,,
173,6307.8,,
54,6290.9,,
365,6269.3,,
62,6259.4,,
300,6138.8,,
384,6082.0,,
312,6024.4,,
288,6013.5,,
289,6004.6,,
388,5912.7,,
303,5884.0,,
82,5835.2,,
350,5759.3,,
213,5731.2,,
318,5684.8,,
51,5609.7,,
137,5440.7,,
407,5362.1,,
244,5172.9,,
23,4545.2,,
183,12073.2,MSE>11458,
17,10837.7,KNOWN_BROKEN (practice.js static-PNG fallback),
229,10378.0,KNOWN_BROKEN (practice.js static-PNG fallback),
132,10357.1,KNOWN_BROKEN (practice.js static-PNG fallback),
152,10240.8,KNOWN_BROKEN (practice.js static-PNG fallback),
79,9379.9,KNOWN_BROKEN (practice.js static-PNG fallback),
168,8885.5,KNOWN_BROKEN (practice.js static-PNG fallback),
