id,measure_count,note_count,8th,qtr,half,16th,other,per_measure_sig,side_by_side,suspicious
315,3,21,18,3,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0",/tmp/bml-book-compare/0315.png,
316,3,24,24,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0316.png,
317,3,24,24,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0317.png,
320,3,24,24,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0320.png,
321,4,22,20,2,0,0,0,"0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 1.0,0.5,0.5,1.0",/tmp/bml-book-compare/0321.png,
322,3,22,15,0,0,0,7,"0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,1.5",/tmp/bml-book-compare/0322.png,
323,6,42,36,6,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0",/tmp/bml-book-compare/0323.png,
324,3,17,16,0,0,0,1,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 4.0",/tmp/bml-book-compare/0324.png,
325,8,32,32,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 |  |  | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 |  | ",/tmp/bml-book-compare/0325.png,
326,6,32,32,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 |  |  | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0326.png,
327,8,28,24,4,0,0,0,"0.5,0.5,0.5,0.5,1.0,0.5,0.5 | 1.0,0.5,0.5,0.5,0.5,0.5,0.5 |  |  | 0.5,0.5,0.5,0.5,1.0,0.5,0.5 | 1.0,0.5,0.5,0.5,0.5,0.5,0.5 |  | ",/tmp/bml-book-compare/0327.png,
328,12,67,20,11,0,0,36,"0.5,0.5 | 0.5,0.5,0.5,0.5,1.0,0.5,0.5 | 0.5,0.5,0.5,0.5,1.0,0.5,0.5 | 0.5,0.5,0.5,0.5,1.0,0.5,0.5 | 1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333 | 1.0 | 1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333 | 1.0 | 1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333 | 1.0 | 1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333 | 1.0",/tmp/bml-book-compare/0328.png,
329,9,52,48,4,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 |  | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 |  | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0",/tmp/bml-book-compare/0329.png,
330,5,24,24,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 |  | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 |  | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0330.png,
331,4,28,24,4,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0",/tmp/bml-book-compare/0331.png,
333,2,13,12,0,1,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,2.0",/tmp/bml-book-compare/0333.png,
334,2,24,6,0,0,0,18,"0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5 | 0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333",/tmp/bml-book-compare/0334.png,
335,3,17,16,0,0,0,1,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 4.0",/tmp/bml-book-compare/0335.png,
336,3,24,24,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0336.png,
338,2,24,12,0,0,0,12,"0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,0.5 | 0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,0.5",/tmp/bml-book-compare/0338.png,
339,4,32,32,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0339.png,
340,4,25,24,0,1,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 2.0",/tmp/bml-book-compare/0340.png,
341,2,12,12,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0341.png,
342,2,12,8,4,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 1.0,1.0,1.0,1.0",/tmp/bml-book-compare/0342.png,
343,2,24,0,0,0,0,24,"0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333 | 0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333",/tmp/bml-book-compare/0343.png,
344,2,17,2,0,0,0,15,"0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333 | 0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333",/tmp/bml-book-compare/0344.png,
345,4,32,32,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0345.png,
346,3,12,10,0,1,0,1,"0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,1.5 | 2.0",/tmp/bml-book-compare/0346.png,
347,4,26,24,2,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,1.0",/tmp/bml-book-compare/0347.png,
348,3,20,20,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0348.png,
349,3,20,20,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0349.png,
350,3,20,20,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0350.png,
351,3,20,20,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0351.png,
352,3,20,15,0,0,0,5,"0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0352.png,
353,3,20,20,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0353.png,
