id,error,measure_count,pitched_count,rest_count,chord_count,time_sig,key_sig,empty_measures,max_notes_per_measure,suspicious
149,,3,24,0,0,,,0,8,
150,,2,16,0,0,,,0,8,
151,,3,32,0,0,,,0,16,
152,,2,32,0,0,,,0,16,
153,,4,24,0,0,,,0,6,
154,,4,24,0,0,,,0,6,
155,,2,28,0,0,,,0,16,
156,,4,20,0,0,,,0,5,
157,,4,32,0,0,,,0,8,
158,,2,24,0,0,,,0,12,
159,,2,24,0,0,,,0,12,
160,,2,24,0,0,,,0,12,
161,,4,32,0,0,,,0,8,
162,,4,32,0,0,,,0,8,
163,,2,24,0,0,,,0,12,
164,,4,29,0,0,,,0,8,
165,,2,24,0,0,,,0,12,
166,,4,28,0,0,,,0,8,
167,,4,28,0,0,,,0,8,
168,,3,27,0,0,,,0,12,
169,,4,32,0,0,,,0,8,
170,,4,25,0,0,,,0,8,
171,,4,25,0,0,,,0,8,
172,,7,28,0,0,,,0,4,
173,,6,24,0,0,,,0,4,
174,,4,8,0,0,,<music21.key.KeySignature of 1 flat>,0,2,
175,,8,43,0,0,,,0,6,
176,,8,43,0,0,,,0,6,
177,,5,25,0,0,,,0,6,
178,,4,19,0,0,,,0,6,
179,,4,25,0,0,,,0,8,
180,,6,41,0,0,,,0,8,
181,,5,33,0,0,,,0,8,
182,,8,59,0,0,,,0,8,
183,,4,32,0,0,,,0,8,
184,,7,36,0,0,,,0,6,
185,,8,60,0,0,,,0,8,
186,,2,24,0,0,,,0,12,
187,,3,24,0,0,,,0,8,
188,,4,32,0,0,<music21.meter.TimeSignature 4/4>,,0,8,
189,,4,28,0,0,,,0,8,
190,,4,28,0,0,,,0,8,
191,,3,19,0,0,,,0,8,
192,,3,20,0,0,,,0,8,
193,,6,48,0,0,,,0,8,
194,,3,24,0,0,,,0,8,
195,,3,20,0,0,,,0,8,
196,,1,12,0,0,,,0,12,
197,,1,16,0,0,,,0,16,
198,,3,17,0,0,,,0,8,
199,,3,8,0,0,,,0,4,
200,,2,16,0,0,,,0,8,
201,,3,30,0,0,,,0,12,
202,,3,20,0,0,,,0,8,
203,,4,25,0,0,,,0,8,
204,,3,20,0,0,,,0,8,
205,,5,27,0,0,,,0,8,
206,,9,58,0,1,,,0,8,
207,,3,19,0,0,,,0,9,
208,,4,32,0,0,,,0,8,
209,,4,32,0,0,,,0,8,
210,,4,32,0,0,,,0,8,
211,,4,32,0,0,,,0,8,
212,,3,24,0,0,,,0,8,
213,,5,16,0,0,,,0,4,
214,,5,24,0,0,<music21.meter.TimeSignature 3/4>,,0,6,
215,,2,24,0,0,<music21.meter.TimeSignature 4/4>,,0,12,
216,,3,30,0,0,,,0,12,
217,,3,30,0,0,,,0,12,
218,,3,24,0,0,,,0,8,
219,,3,24,0,0,,,0,8,
220,,3,24,0,0,,,0,8,
221,,3,24,0,0,,,0,8,
222,,4,32,0,0,,,0,8,
223,,5,25,0,0,,,0,5,
224,,4,20,0,0,,,0,5,
225,,4,20,0,0,,,0,5,
226,,4,20,0,0,,,0,5,
227,,4,28,0,0,,,0,7,
228,,4,29,0,0,,,0,8,
229,,4,29,0,0,,,0,8,
230,,3,24,0,0,,,0,8,
231,,4,32,0,0,,,0,8,
232,,4,26,0,0,,,0,8,
233,,3,24,0,0,,,0,8,
234,,4,27,0,1,,,0,7,
235,,5,25,0,0,,,0,5,
236,,6,30,0,0,,,0,5,
237,,3,25,0,0,,,0,10,
238,,6,24,0,0,,,0,4,
239,,2,24,0,0,,,0,12,
240,,2,24,0,0,,,0,12,
241,,5,24,0,0,,,0,6,
242,,2,24,0,0,,,0,12,
243,,2,24,0,0,,,0,12,
244,,3,24,0,0,,,0,8,
245,,3,10,0,0,<music21.meter.TimeSignature 4/4>,,0,8,
246,,5,21,0,0,,,0,8,
247,,3,17,0,0,,,0,6,
248,,2,13,0,0,,,0,8,
249,,2,13,0,0,,,0,8,
250,,2,13,0,0,,,0,8,
251,,2,13,0,0,,,0,8,
252,,4,23,0,0,,,0,8,
253,,3,20,0,0,,,0,8,
254,,7,42,0,0,,,0,8,
255,,5,22,0,0,,,0,7,
256,,3,16,0,0,,,0,8,
257,,4,26,0,0,,,0,8,
258,,3,20,0,0,,,0,8,
259,,4,24,0,0,,,0,7,
260,,2,9,0,0,,,0,8,
261,,3,17,0,0,,,0,8,
262,,7,24,0,0,,,0,6,
263,,3,33,0,0,,,0,11,
264,,5,32,0,0,,,0,8,
265,,4,18,0,0,,,0,6,
266,,5,41,0,0,,,0,14,
267,,6,32,0,0,,,0,8,
268,,4,28,0,0,,,0,7,
269,,4,25,0,0,,,0,8,
270,,17,85,0,0,,,0,8,
271,,14,67,0,0,,,0,8,
272,,4,25,0,0,,,0,8,
273,,4,21,0,0,,,0,7,
274,,6,21,0,0,,,0,4,
275,,7,42,0,0,,,0,7,
276,,2,8,0,0,,,0,4,
277,,4,27,0,0,,,0,12,
278,,4,26,0,0,,,0,8,
